Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2532.000,2180.000,
2007-02-01,,2447.000,2121.000,
2007-03-01,,2460.000,2141.000,
2007-04-01,,2492.000,2167.000,
2007-05-01,,2521.000,2189.000,
2007-06-01,,2543.000,2208.000,
2007-07-01,,2583.000,2242.000,
2007-08-01,,2620.000,2269.000,
2007-09-01,,2638.000,2285.000,
2007-10-01,,2646.000,2294.000,
2007-11-01,,2665.000,2309.000,
2007-12-01,,2673.000,2318.000,
2008-01-01,,2674.000,2317.000,
2008-02-01,,2672.000,2318.000,
2008-03-01,,2678.000,2325.000,
2008-04-01,,2677.000,2324.000,
2008-05-01,,2680.000,2324.000,
2008-06-01,,2680.000,2324.000,
2008-07-01,,2681.000,2326.000,
2008-08-01,,2682.000,2327.000,
2008-09-01,,2671.000,2317.000,
2008-10-01,,2643.000,2295.000,
2008-11-01,,2614.000,2271.000,
2008-12-01,,2575.000,2238.000,
2009-01-01,,2539.000,2209.000,
2009-02-01,,2506.000,2182.000,
2009-03-01,,2479.000,2159.000,
2009-04-01,,2453.000,2138.000,
2009-05-01,,2434.000,2122.000,
2009-06-01,,2426.000,2114.000,
2009-07-01,,2427.000,2115.000,
2009-08-01,,2423.000,2111.000,
2009-09-01,,2423.000,2112.000,
2009-10-01,,2416.000,2106.000,
2009-11-01,,2404.000,2097.000,
2009-12-01,,2397.000,2091.000,
2010-01-01,1843.000,2403.000,2094.000,
2010-02-01,1829.000,2408.000,2099.000,
2010-03-01,1840.000,2411.000,2102.000,
2010-04-01,1851.000,2420.000,2109.000,
2010-05-01,1868.000,2432.000,2119.000,
2010-06-01,1885.000,2445.000,2133.000,
2010-07-01,1889.000,2463.000,2147.000,
2010-08-01,1899.000,2477.000,2160.000,
2010-09-01,1900.000,2494.000,2174.000,
2010-10-01,1914.000,2505.000,2184.000,
2010-11-01,1907.000,2512.000,2188.000,
2010-12-01,1930.000,2519.000,2196.000,
2011-01-01,1933.000,2531.000,2207.000,
2011-02-01,1938.000,2543.000,2216.000,
2011-03-01,1935.000,2558.000,2227.000,
2011-04-01,1954.000,2575.000,2243.000,
2011-05-01,1972.000,2589.000,2256.000,
2011-06-01,1989.000,2607.000,2272.000,
2011-07-01,2002.000,2626.000,2288.000,
2011-08-01,2016.000,2642.000,2301.000,
2011-09-01,2027.000,2657.000,2314.000,
2011-10-01,2039.000,2671.000,2327.000,
2011-11-01,2045.000,2675.000,2332.000,
2011-12-01,2046.000,2679.000,2335.000,
2012-01-01,2049.000,2686.000,2341.000,1740.000
2012-02-01,2059.000,2696.000,2349.000,1776.000
2012-03-01,2063.000,2710.000,2360.000,1785.000
2012-04-01,2083.000,2723.000,2373.000,1779.000
2012-05-01,2096.000,2740.000,2388.000,1801.000
2012-06-01,2108.000,2752.000,2399.000,1792.000
2012-07-01,2124.000,2769.000,2414.000,1801.000
2012-08-01,2137.000,2782.000,2425.000,1791.000
2012-09-01,2148.000,2791.000,2433.000,1804.000
2012-10-01,2161.000,2797.000,2438.000,1804.000
2012-11-01,2178.000,2802.000,2446.000,1815.000
2012-12-01,2190.000,2803.000,2449.000,1818.000
2013-01-01,2195.000,2806.000,2452.000,1823.000
2013-02-01,2200.000,2816.000,2460.000,1821.000
2013-03-01,2206.000,2824.000,2465.000,1820.000
2013-04-01,2221.000,2833.000,2475.000,1823.000
2013-05-01,2238.000,2849.000,2490.000,1839.000
2013-06-01,2255.000,2861.000,2502.000,1845.000
2013-07-01,2273.000,2874.000,2515.000,1863.000
2013-08-01,2287.000,2885.000,2524.000,1871.000
2013-09-01,2294.000,2894.000,2533.000,1879.000
2013-10-01,2304.000,2898.000,2537.000,1879.000
2013-11-01,2303.000,2897.000,2536.000,1877.000
2013-12-01,2304.000,2892.000,2533.000,1872.000
2014-01-01,2305.000,2896.000,2535.000,1877.000
2014-02-01,2312.000,2899.000,2539.000,1879.000
2014-03-01,2312.000,2907.000,2545.000,1883.000
2014-04-01,2326.000,2923.000,2558.000,1894.000
2014-05-01,2342.000,2942.000,2575.000,1900.000
2014-06-01,2357.000,2956.000,2586.000,1906.000
2014-07-01,2368.000,2968.000,2599.000,1922.000
2014-08-01,2383.000,2984.000,2613.000,1934.000
2014-09-01,2390.000,2990.000,2620.000,1949.000
2014-10-01,2391.000,2994.000,2623.000,1956.000
2014-11-01,2393.000,2993.000,2624.000,1960.000
2014-12-01,2395.000,2994.000,2625.000,1964.000
2015-01-01,2403.000,3000.000,2632.000,1975.000
2015-02-01,2410.000,3010.000,2641.000,1984.000
2015-03-01,2417.000,3023.000,2651.000,1985.000
2015-04-01,2430.000,3038.000,2665.000,1992.000
2015-05-01,2443.000,3059.000,2681.000,2003.000
2015-06-01,2458.000,3077.000,2696.000,2010.000
2015-07-01,2472.000,3091.000,2710.000,2028.000
2015-08-01,2482.000,3104.000,2722.000,2040.000
2015-09-01,2494.000,3110.000,2730.000,2047.000
2015-10-01,2496.000,3111.000,2730.000,2049.000
2015-11-01,2499.000,3106.000,2727.000,2048.000
2015-12-01,2498.000,3102.000,2725.000,2046.000
2016-01-01,2500.000,3100.000,2725.000,2050.000
2016-02-01,2500.000,3102.000,2726.000,2051.000
2016-03-01,2507.000,3107.000,2731.000,2056.000
2016-04-01,2515.000,3117.000,2740.000,2064.000
2016-05-01,2522.000,3133.000,2751.000,2069.000
2016-06-01,2530.000,3146.000,2762.000,2076.000
2016-07-01,2537.000,3155.000,2769.000,2082.000
2016-08-01,2542.000,3160.000,2776.000,2093.000
2016-09-01,2546.000,3159.000,2777.000,2096.000
2016-10-01,2543.000,3151.000,2772.000,2096.000
2016-11-01,2542.000,3138.000,2763.000,2089.000
2016-12-01,2534.000,3128.000,2755.000,2086.000
2017-01-01,2530.000,3120.000,2749.000,2084.000
2017-02-01,2529.000,3116.000,2748.000,2090.000
2017-03-01,2530.000,3118.000,2749.000,2092.000
2017-04-01,2534.000,3126.000,2755.000,2098.000
2017-05-01,2543.000,3138.000,2764.000,2098.000
2017-06-01,2550.000,3150.000,2774.000,2105.000
2017-07-01,2559.000,3160.000,2783.000,2113.000
2017-08-01,2568.000,3168.000,2791.000,2116.000
2017-09-01,2571.000,3166.000,2791.000,2118.000
2017-10-01,2565.000,3158.000,2783.000,2105.000
2017-11-01,2559.000,3143.000,2772.000,2093.000
2017-12-01,2555.000,3133.000,2763.000,2076.000
2018-01-01,2551.000,3127.000,2758.000,2074.000
2018-02-01,2550.000,3131.000,2760.000,2074.000
2018-03-01,2554.000,3137.000,2766.000,2079.000
2018-04-01,2565.000,3148.000,2776.000,2087.000
2018-05-01,2575.000,3165.000,2789.000,2095.000
2018-06-01,2586.000,3183.000,2804.000,2104.000
2018-07-01,2597.000,3198.000,2817.000,2116.000
2018-08-01,2606.000,3212.000,2829.000,2126.000
2018-09-01,2611.000,3220.000,2835.000,2133.000
2018-10-01,2610.000,3216.000,2833.000,2135.000
2018-11-01,2607.000,3210.000,2828.000,2132.000
2018-12-01,2595.000,3203.000,2821.000,2132.000
2019-01-01,2597.000,3201.000,2820.000,2129.000
2019-02-01,2601.000,3206.000,2824.000,2132.000
2019-03-01,2618.000,3215.000,2836.000,2141.000
2019-04-01,2632.000,3229.000,2848.000,2142.000
2019-05-01,2649.000,3251.000,2867.000,2159.000
2019-06-01,2664.000,3270.000,2884.000,2172.000
2019-07-01,2680.000,3289.000,2901.000,2186.000
2019-08-01,2697.000,3304.000,2915.000,2197.000
2019-09-01,2712.000,3311.000,2924.000,2200.000
2019-10-01,2720.000,3309.000,2926.000,2201.000
2019-11-01,2724.000,3306.000,2925.000,2201.000
2019-12-01,2729.000,3300.000,2924.000,2201.000
2020-01-01,2734.000,3305.000,2929.000,2203.000
2020-02-01,2744.000,3317.000,2938.000,2208.000
2020-03-01,2755.000,3324.000,2947.000,2215.000
